test1   test2   test3   test4   test5
Lo 4408 Lo 4408 Lo 4404 Lo 4428 Lo 4412
Hi 4604 Hi 4604 Hi 4604 Hi 4576 Hi 4600
Lo 496  Lo 500  Lo 504  Lo 496  Lo 500
Hi 1752 Hi 1748 Hi 1744 Hi 1752 Hi 1744
Lo 496  Lo 500  Lo 504  Lo 496  Lo 504
Hi 628  Hi 624  Hi 620  Hi 628  Hi 600
Lo 496  Lo 500  Lo 496  Lo 496  Lo 524
Hi 1752 Hi 1744 Hi 1752 Hi 1752 Hi 1744
Lo 496  Lo 496  Lo 496  Lo 496  Lo 504
Hi 1744 Hi 1748 Hi 1752 Hi 1748 Hi 1744
Lo 504  Lo 500  Lo 496  Lo 496  Lo 500
Hi 620  Hi 600  Hi 624  Hi 632  Hi 624
Lo 504  Lo 524  Lo 500  Lo 488  Lo 496
Hi 1744 Hi 1748 Hi 1744 Hi 1752 Hi 1752
Lo 600  Lo 500  Lo 504  Lo 496  Lo 496
Hi 524  Hi 624  Hi 620  Hi 628  Hi 624
Lo 500  Lo 500  Lo 500  Lo 496  Lo 500
Hi 596  Hi 620  Hi 628  Hi 628  Hi 624
Lo 528  Lo 500  Lo 496  Lo 500  Lo 504
Hi 1744 Hi 1744 Hi 1748 Hi 1748 Hi 1744
Lo 500  Lo 504  Lo 500  Lo 496  Lo 496
Hi 624  Hi 624  Hi 620  Hi 624  Hi 620
Lo 496  Lo 500  Lo 504  Lo 496  Lo 504
Hi 1752 Hi 1744 Hi 1744 Hi 1752 Hi 1744
Lo 496  Lo 504  Lo 496  Lo 496  Lo 504
Hi 1752 Hi 1744 Hi 1752 Hi 1748 Hi 1744
Lo 496  Lo 504  Lo 496  Lo 500  Lo 500
Hi 620  Hi 616  Hi 628  Hi 628  Hi 624
Lo 504  Lo 500  Lo 496  Lo 600  Lo 496
Hi 1744 Hi 1748 Hi 1744 Hi 1640 Hi 1752
Lo 504  Lo 500  Lo 504  Lo 496  Lo 496
Hi 620  Hi 624  Hi 624  Hi 628  Hi 624
Lo 496  Lo 500  Lo 500  Lo 496  Lo 500
Hi 624  Hi 624  Hi 624  Hi 632  Hi 624
Lo 504  Lo 496  Lo 496  Lo 496  Lo 504
Hi 624  Hi 624  Hi 624  Hi 628  Hi 620
Lo 500  Lo 500  Lo 500  Lo 496  Lo 496
Hi 624  Hi 624  Hi 624  Hi 624  Hi 624
Lo 496  Lo 504  Lo 500  Lo 496  Lo 504
Hi 600  Hi 620  Hi 624  Hi 628  Hi 620
Lo 524  Lo 500  Lo 496  Lo 496  Lo 504
Hi 624  Hi 620  Hi 628  Hi 624  Hi 624
Lo 500  Lo 504  Lo 496  Lo 500  Lo 496
Hi 1744 Hi 1744 Hi 1748 Hi 1744 Hi 1748
Lo 504  Lo 500  Lo 500  Lo 500  Lo 500
Hi 1744 Hi 1748 Hi 1744 Hi 1748 Hi 1744
Lo 496  Lo 500  Lo 504  Lo 496  Lo 500
Hi 628  Hi 624  Hi 620  Hi 628  Hi 624
Lo 500  Lo 500  Lo 500  Lo 496  Lo 500
Hi 620  Hi 620  Hi 620  Hi 624  Hi 624
Lo 504  Lo 500  Lo 504  Lo 504  Lo 496
Hi 1744 Hi 1744 Hi 1748 Hi 1744 Hi 1752
Lo 500  Lo 504  Lo 500  Lo 496  Lo 496
Hi 1724 Hi 1744 Hi 1744 Hi 1752 Hi 1752
Lo 520  Lo 504  Lo 500  Lo 496  Lo 496
Hi 1748 Hi 1744 Hi 1724 Hi 1748 Hi 1744
Lo 500  Lo 500  Lo 524  Lo 496  Lo 500
Hi 1748 Hi 1724 Hi 1744 Hi 1752 Hi 1744
Lo 496  Lo 524  Lo 504  Lo 496  Lo 504
Hi 624  Hi 624  Hi 620  Hi 628  Hi 624
Lo 504  Lo 496  Lo 500  Lo 496  Lo 500
Hi 620  Hi 624  Hi 620  Hi 624  Hi 624
Lo 504  Lo 500  Lo 504  Lo 496  Lo 496
Hi 1744 Hi 1724 Hi 1744 Hi 1752 Hi 1752
Lo 500  Lo 524  Lo 504  Lo 496  Lo 496
Hi 1748 Hi 1744 Hi 1744 Hi 1752 Hi 1748
Lo 496  Lo 504  Lo 500  Lo 496  Lo 496
