test1,test2,test3,test4,test5
Low 4408,Low 4480,Low 4404,Low 4408,Low 4456
Hi 4604,Hi 4532,Hi 4608,Hi 4604,Hi 4556
Low 496,Low 552,Low 496,Low 500,Low 492
Hi 1748,Hi 1692,Hi 1748,Hi 1744,Hi 1752
Low 500,Low 556,Low 500,Low 500,Low 492
Hi 624,Hi 568,Hi 624,Hi 624,Hi 632
Low 500,Low 528,Low 496,Low 500,Low 492
Hi 1744,Hi 1720,Hi 1748,Hi 1748,Hi 1756
Low 500,Low 552,Low 500,Low 496,Low 492
Hi 1748,Hi 1692,Hi 1748,Hi 1748,Hi 1752
Low 500,Low 556,Low 500,Low 500,Low 492
Hi 624,Hi 568,Hi 624,Hi 624,Hi 632
Low 496,Low 552,Low 496,Low 500,Low 492
Hi 1752,Hi 1692,Hi 1748,Hi 1744,Hi 1752
Low 496,Low 556,Low 500,Low 500,Low 492
Hi 624,Hi 568,Hi 600,Hi 600,Hi 632
Low 500,Low 552,Low 524,Low 524,Low 492
Hi 624,Hi 572,Hi 624,Hi 624,Hi 632
Low 500,Low 556,Low 496,Low 500,Low 492
Hi 1748,Hi 1688,Hi 1748,Hi 1748,Hi 1752
Low 496,Low 556,Low 500,Low 496,Low 496
Hi 624,Hi 568,Hi 624,Hi 628,Hi 628
Low 500,Low 556,Low 500,Low 496,Low 492
Hi 1748,Hi 1692,Hi 1744,Hi 1748,Hi 1752
Low 500,Low 552,Low 500,Low 500,Low 496
Hi 1744,Hi 1692,Hi 1748,Hi 1744,Hi 1752
Low 500,Low 532,Low 500,Low 500,Low 492
Hi 624,Hi 592,Hi 624,Hi 624,Hi 632
Low 500,Low 528,Low 496,Low 500,Low 492
Hi 1748,Hi 1720,Hi 1748,Hi 1748,Hi 1756
Low 496,Low 528,Low 500,Low 500,Low 492
Hi 628,Hi 592,Hi 624,Hi 624,Hi 628
Low 496,Low 556,Low 500,Low 496,Low 496
Hi 624,Hi 568,Hi 624,Hi 624,Hi 628
Low 500,Low 528,Low 500,Low 500,Low 492
Hi 624,Hi 596,Hi 596,Hi 624,Hi 632
Low 500,Low 528,Low 528,Low 500,Low 492
Hi 624,Hi 592,Hi 624,Hi 624,Hi 628
Low 496,Low 532,Low 496,Low 496,Low 496
Hi 628,Hi 592,Hi 624,Hi 628,Hi 628
Low 496,Low 556,Low 500,Low 496,Low 496
Hi 624,Hi 568,Hi 624,Hi 628,Hi 628
Low 500,Low 556,Low 500,Low 496,Low 492
Hi 1748,Hi 1692,Hi 1744,Hi 1748,Hi 1756
Low 500,Low 528,Low 500,Low 500,Low 492
Hi 1744,Hi 1716,Hi 1748,Hi 1748,Hi 1752
Low 500,Low 532,Low 500,Low 496,Low 596
Hi 624,Hi 592,Hi 624,Hi 624,Hi 528
Low 500,Low 528,Low 500,Low 500,Low 596
Hi 624,Hi 596,Hi 600,Hi 624,Hi 528
Low 500,Low 552,Low 520,Low 500,Low 492
Hi 1744,Hi 1692,Hi 1748,Hi 1744,Hi 1756
Low 500,Low 532,Low 500,Low 500,Low 492
Hi 1724,Hi 1716,Hi 1748,Hi 1748,Hi 1752
Low 524,Low 528,Low 496,Low 500,Low 492
Hi 1744,Hi 1716,Hi 1748,Hi 1748,Hi 1752
Low 500,Low 532,Low 500,Low 500,Low 496
Hi 1748,Hi 1716,Hi 1748,Hi 1744,Hi 1752
Low 500,Low 528,Low 500,Low 500,Low 492
Hi 624,Hi 596,Hi 620,Hi 624,Hi 628
Low 500,Low 528,Low 500,Low 500,Low 600
Hi 624,Hi 568,Hi 628,Hi 596,Hi 524
Low 496,Low 556,Low 496,Low 524,Low 496
Hi 1748,Hi 1716,Hi 1748,Hi 1748,Hi 1752
Low 500,Low 528,Low 500,Low 500,Low 492
Hi 1748,Hi 1720,Hi 1744,Hi 1748,Hi 1752
Low 496,Low 528,Low 500,Low 500,Low 496
